"country","avg_happiness_score","avg_gdp_per_capita","avg_social_support","avg_life_expectancy","avg_freedom","avg_government_trust","avg_generosity","num_years","rank"
"Bahrain",6.1137999786377,1.39048245220184,1.24346409224701,0.725250606941223,0.519083383831024,0.210752433914185,0.203151697366714,5,46
"Slovakia",6.10840000991821,1.2460067115097,1.37974584844971,0.772484582221985,0.307047492918015,0.0231981703279018,0.136568896183968,5,47
"Uzbekistan",6.04620003890991,0.723758217544556,1.43409982991791,0.591724525518417,0.655987732589722,0.267423644631386,0.327522729421616,5,48
"Nicaragua",6.02740001983643,0.677277840774536,1.19365314193726,0.716673192123413,0.486024369300842,0.14835559636879,0.257110843397141,5,49
"Italy",6.02240004501343,1.31183132378387,1.33467265633392,0.928724869533539,0.243816142536163,0.0281196182831526,0.172571929635048,5,50
"Ecuador",5.99199997940063,0.927780079666138,1.15738776274109,0.753303244472504,0.47952763971138,0.141680929497719,0.121252493004799,5,51
"Poland",5.98080000991821,1.20903757255554,1.33160839406586,0.766817069599152,0.506492422317505,0.0540855612387657,0.13909719331646,5,52
"Belize",5.95599995040894,0.863711772015889,0.956322599665323,0.459960588674545,0.550939790744781,0.0977636905384064,0.219951880284945,3,53
"Lithuania",5.92979999008179,1.23320246957397,1.36741522132111,0.708193988040924,0.255588356987953,0.0176751285706162,0.0251649313352704,5,54
"Japan",5.92580001525879,1.33774503565979,1.32699956572723,0.979099174217224,0.493477109195709,0.164842147316933,0.095572553630352,5,55
"Malaysia",5.90400002212524,1.20989908395386,1.13282520684814,0.692676885528564,0.437362996492386,0.0688841416254044,0.346619785926819,5,56
"Slovenia",5.88799997940063,1.26053119091034,1.36229976415253,0.852941645599365,0.581953161514282,0.0454697957577705,0.21146181865406,5,57
"South Korea",5.88539996414185,1.314553688591,1.04619088815308,0.948608815208435,0.248936333181381,0.0652025337181091,0.186096873437881,5,58
"Kazakhstan",5.83839995346069,1.19050525392914,1.29724380313873,0.636716310127258,0.444628856647491,0.106428577277184,0.152868884612083,5,59
"Bolivia",5.81319999084473,0.767261313209534,1.09516381038666,0.539306049900055,0.55189658536911,0.068787545232296,0.185180144947052,5,60
"Russia",5.79859996414185,1.19713961943054,1.33781247773743,0.626303866752625,0.360078622314453,0.0309745762057304,0.0457227644813061,5,61
"Northern Cyprus",5.7765,1.246,1.2315,0.9755,0.456,0.158,0.185,2,62
"North Cyprus",5.75866664759318,1.2887937703832,1.02488112571716,0.866542412751516,0.465811208400726,0.154644450809161,0.263918567708333,3,63
"Moldova",5.75859996414185,0.671424126052856,1.14548511421204,0.617963040180206,0.25958580976963,0.00905425723052024,0.194051825281143,5,64
"Cyprus",5.73279996261597,1.27492761539459,1.02910265453339,0.913614940235138,0.377180307872772,0.0461955952804089,0.249738860214233,5,65
"Peru",5.72840003051758,0.96508705443573,1.1057820769577,0.703655222675323,0.444996575780869,0.0441718173081875,0.119381942980766,5,66
"Mauritius",5.70660003738403,1.11014510938263,1.14814419806671,0.698279492404938,0.519071465227127,0.0558843110363483,0.313576750173569,5,67
"Romania",5.69839996185303,1.14176678226471,1.04300025809479,0.736215662464142,0.432960748491287,0.00473358013978601,0.114177983545303,5,68
"Latvia",5.67619998092651,1.18534972496033,1.27391698839569,0.697091394165039,0.305875582489014,0.0712125453295708,0.135356957213402,5,69
"Algeria",5.66760004348755,1.01296289333344,1.07420549308014,0.665056929149628,0.1784371615839,0.146099222068787,0.0692193293995857,5,70
"Paraguay",5.66660000610352,0.8552234634552,1.38403297593689,0.643036138664246,0.505969558351517,0.0802891826877594,0.233102131530762,5,71
"Jamaica",5.66199997406006,0.8558578618927,1.29079161286163,0.689424476833344,0.495939447811127,0.0360395562038422,0.174313667464256,5,72
"Estonia",5.63780001220703,1.23785186803436,1.36324221993256,0.752151663272858,0.478224286077499,0.171055784445763,0.0917841622409821,5,73
"Kosovo",5.60619996109009,0.878282876430511,1.01449070064545,0.609754410041809,0.317747588100433,0.0398703236112595,0.28379028950119,5,74
"Belarus",5.59799995346069,1.08501951199341,1.33815304323578,0.698766853355408,0.301538052375793,0.163556764334679,0.120003501821518,5,75
"Libya",5.59700001907349,1.06582661286926,1.2159888660202,0.594601803939819,0.440226646022797,0.121246042036057,0.150978733290672,5,76
"Turkmenistan",5.58220000534058,1.04748335259247,1.36579983226776,0.518129216083527,0.41589038580513,0.183476068040848,0.21767699751091,5,77
"Venezuela",5.5314,1.05246824019623,1.32326351899719,0.683740845405579,0.213709424648285,0.0714442245922089,0.0571859259791374,5,78
"Hong Kong S.A.R., China",5.47200012207031,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.293933749198914,0.374465793371201,1,79
"Croatia",5.45860004425049,1.15231724668121,0.959862601486206,0.769115704257965,0.285934458522797,0.0336846220090389,0.145156595235825,5,80
"Hong Kong",5.448,1.434935,1.1238475,1.0295125,0.5102175,0.3164275,0.3249375,4,81
"Turkey",5.4154,1.15103487480164,1.18024863533783,0.702101121501923,0.257356119926453,0.119122315979481,0.0810586083841324,5,82
"Philippines",5.38739996566772,0.791437843082428,1.1545695149765,0.537901810932159,0.592040934894562,0.110338378605366,0.179432684640884,5,83
"Pakistan",5.34400001068115,0.667894706123352,0.60883013791275,0.455753556627274,0.229891052315712,0.115757613349438,0.280001203834534,5,84
"Serbia",5.3391999961853,1.00064351585388,1.16662395948029,0.716788934261322,0.227393105649948,0.0384927561218739,0.178161176763535,5,85
"Hungary",5.32939997634888,1.20407438685608,1.25758461838531,0.736578690505981,0.23053670386219,0.0301873874819279,0.0894803324818611,5,86
"Portugal",5.30460003433228,1.23203105897522,1.26201260366821,0.869532708324432,0.506085059921265,0.016771890337348,0.0902405425024033,5,87
"Montenegro",5.29199999771118,1.04837780718994,1.10513529964447,0.725600934703827,0.196939811079025,0.103868838819504,0.156844204818726,5,88
"North Macedonia",5.274,0.983,1.294,0.838,0.345,0.034,0.185,1,89
